rank,stadium,capacity,city,state,year opened,type,tenant
38,Husky Stadium,"70,083",Seattle,Washington,1920,Football,"Washington Huskies (NCAA)
"
39,Kinnick Stadium,"69,250",Iowa City,Iowa,1929,Football,"Iowa Hawkeyes (NCAA)
"
40,Raymond James Stadium,"69,218",Tampa,Florida,1998,Football,"Tampa Bay Buccaneers (NFL) South Florida Bulls (NCAA) Tampa Bay Bowl (NCAA) Gasparilla Bowl (NCAA)
"
41,Nissan Stadium,"69,143",Nashville,Tennessee,1999,Football,"Tennessee Titans (NFL) Tennessee State Tigers (NCAA) Music City Bowl (NCAA)
"
42,Lumen Field,"68,740",Seattle,Washington,2002,"Football, soccer","Seattle Seahawks (NFL) Seattle Sounders FC (MLS)  OL Reign (NWSL)  Seattle Sea Dragons (XFL)
"
43,Levi's Stadium,"68,500",Santa Clara,California,2014,Football,"San Francisco 49ers (NFL)
"
44,Acrisure Stadium,"68,400",Pittsburgh,Pennsylvania,2001,Football,"Pittsburgh Steelers (NFL) Pittsburgh Panthers (NCAA)
"
45,EverBank Stadium,"67,814",Jacksonville,Florida,1995,Football,"Jacksonville Jaguars (NFL) Gator Bowl (NCAA) Florida vs. Georgia Football Classic (NCAA)
"
46,Lincoln Financial Field,"67,594",Philadelphia,Pennsylvania,2003,Football,Philadelphia Eagles (NFL) Temple Owls (NCAA) Army–Navy Game (NCAA) (most years)
47,Cleveland Browns Stadium,"67,431",Cleveland,Ohio,1999,Football,"Cleveland Browns (NFL)
"
48,The Dome at America's Center,"67,277",St. Louis,Missouri,1995,Football,"St Louis Battlehawks (XFL)
"
49,US Bank Stadium,"66,655",Minneapolis,Minnesota,2016,Football,"Minnesota Vikings (NFL)
"
50,Gillette Stadium,"65,878",Foxborough,Massachusetts,2002,"Football, soccer","New England Patriots (NFL) New England Revolution (MLS)
"
51,Lane Stadium,"65,632",Blacksburg,Virginia,1965,Football,"Virginia Tech Hokies (NCAA)
"
52,Paycor Stadium,"65,515",Cincinnati,Ohio,2000,Football,"Cincinnati Bengals (NFL)
"
53,Ford Field,"65,000",Detroit,Michigan,2002,Football,"Detroit Lions (NFL) Quick Lane Bowl (NCAA) MAC Championship Game (NCAA)  Michigan Panthers (USFL)
"
54,Allegiant Stadium,"65,000",Las Vegas,Nevada,2020,Football,"Las Vegas Raiders (NFL) UNLV Rebels (NCAA)Pac-12 Championship Game (NCAA) Las Vegas Bowl (NCAA)
"
55,Ross–Ade Stadium,"65,000",West Lafayette,Indiana,1924,Football,"Purdue Boilermakers (NCAA)
"
56,Hard Rock Stadium,"64,767",Miami Gardens,Florida,1987,Football,"Miami Dolphins (NFL) Miami Hurricanes (NCAA) Orange Bowl (NCAA)
"
57,Vaught–Hemingway Stadium,"64,038",Oxford,Mississippi,1915,Football,"Ole Miss Rebels (NCAA)
"
58,Alamodome,"64,000",San Antonio,Texas,1993,Football,"UTSA Roadrunners (NCAA) Alamo Bowl (NCAA)  San Antonio Brahmas (XFL)  U.S. Army All-American Bowl (High School)
"
59,LaVell Edwards Stadium,"63,470",Provo,Utah,1964,Football,"BYU Cougars (NCAA)
"
60,State Farm Stadium,"63,400",Glendale,Arizona,2006,Football,"Arizona Cardinals (NFL) Fiesta Bowl (NCAA)
"
61,California Memorial Stadium,"63,186",Berkeley,California,1923,Football,"California Golden Bears (NCAA)
"
62,Lucas Oil Stadium,"63,000",Indianapolis,Indiana,2008,Football,"Indianapolis Colts (NFL) Big Ten Championship Game (NCAA)
"
63,FedExField,"62,000",Landover,Maryland,1997,Football,Washington Commanders (NFL)
64,Faurot Field,"61,620",Columbia,Missouri,1926,Football,"Missouri Tigers (NCAA)
"
65,Soldier Field,"61,500",Chicago,Illinois,1924;2003,"Football, soccer","Chicago Bears (NFL)Chicago Fire (MLS)
"
66,Scott Stadium,"61,500",Charlottesville,Virginia,1931,Football,"Virginia Cavaliers (NCAA)
"
67,Jack Trice Stadium,"61,500",Ames,Iowa,1975,Football,"Iowa State Cyclones (NCAA)
"
68,Yale Bowl,"61,446",New Haven,Connecticut,1914,Football,"Yale Bulldogs (NCAA)
"
69,Davis Wade Stadium,"61,337",Starkville,Mississippi,1914,Football,"Mississippi State Bulldogs (NCAA)
"
70,Kroger Field,"61,000",Lexington,Kentucky,1973,Football,"Kentucky Wildcats (NCAA)
"
71,Cardinal Stadium,"60,800",Louisville,Kentucky,1998,Football,"Louisville Cardinals (NCAA)
"
72,Memorial Stadium,"60,670",Champaign,Illinois,1923,Football,"Illinois Fighting Illini (NCAA)
"
73,Mississippi Veterans Memorial Stadium,"60,492",Jackson,Mississippi,1941,Football,"Jackson State Tigers (NCAA)
"
74,Jones AT&T Stadium,"60,454",Lubbock,Texas,1947,Football,"Texas Tech Red Raiders (NCAA)
"
75,Camping World Stadium,"60,219",Orlando,Florida,1936,Football,"Florida Classic (NCAA) Citrus Bowl (NCAA) Pop-Tarts Bowl (NCAA)  Orlando Guardians (XFL)
"
76,Mountaineer Field,"60,000",Morgantown,West Virginia,1980,Football,"West Virginia Mountaineers (NCAA)
"
77,Simmons Bank Liberty Stadium,"58,325",Memphis,Tennessee,1965,Football,"Memphis Tigers (NCAA) Liberty Bowl (NCAA)  Memphis Showboats (USFL)
"
78,Carter–Finley Stadium,"56,919",Raleigh,North Carolina,1966,Football,"NC State Wolfpack (NCAA)
"
79,Dodger Stadium,"56,000",Los Angeles,California,1962,Baseball,"Los Angeles Dodgers (MLB)
"
80,Boone Pickens Stadium,"55,509",Stillwater,Oklahoma,1920,Football,"Oklahoma State Cowboys (NCAA)
"
81,Bobby Dodd Stadium at Historic Grant Field,"55,000",Atlanta,Georgia,1913,Football,"Georgia Tech Yellow Jackets (NCAA)
"
82,War Memorial Stadium,"54,120",Little Rock,Arkansas,1948,Football,"Arkansas Razorbacks (NCAA) (secondary to Razorback Stadium)
"
83,Autzen Stadium,"53,800",Eugene,Oregon,1967,Football,"Oregon Ducks (NCAA)
"
84,Sun Devil Stadium,"53,599",Tempe,Arizona,1958,Football,"Arizona State Sun Devils (NCAA)
"
85,Memorial Stadium,"52,626",Bloomington,Indiana,1960,Football,"Indiana Hoosiers (NCAA)
"
86,Franklin Field,"52,593",Philadelphia,Pennsylvania,1895,Football,"Penn Quakers (NCAA)
"
87,SHI Stadium,"52,454",Piscataway,New Jersey,1994,Football,"Rutgers Scarlet Knights (NCAA)
"
88,SECU Stadium,"51,802",College Park,Maryland,1950,Football,"Maryland Terrapins (NCAA)
"
89,Sun Bowl Stadium,"51,500",El Paso,Texas,1963,Football,"UTEP Miners (NCAA) Sun Bowl (NCAA)
"
90,Rice-Eccles Stadium,"51,444",Salt Lake City,Utah,1998,Football,"Utah Utes (NCAA)
"
91,Dowdy–Ficklen Stadium,"51,000",Greenville,"North Carolina
",1963,Football,"East Carolina Pirates (NCAA)
"
92,Independence Stadium,"50,832",Shreveport,Louisiana,1925,Football,"Independence Bowl (NCAA)  Local high school teams
"
93,Huntington Bank Stadium,"50,805",Minneapolis,Minnesota,2009,Football,"Minnesota Golden Gophers (NCAA)
"
94,Arizona Stadium,"50,800",Tucson,Arizona,1928,Football,"Arizona Wildcats (NCAA) Arizona Bowl (NCAA)
"
95,Kenan Memorial Stadium,"50,500",Chapel Hill,North Carolina,1927,Football,"North Carolina Tar Heels (NCAA)
"
96,Stanford Stadium,"50,424",Stanford,California,1921;2006,Football,"Stanford Cardinal (NCAA)
"
97,Folsom Field,"50,183",Boulder,Colorado,1924,Football,"Colorado Buffaloes (NCAA)
"
98,Bill Snyder Family Football Stadium,"50,000",Manhattan,Kansas,1968,Football,"Kansas State Wildcats (NCAA)
"
99,Aloha Stadium,"50,000",Honolulu,Hawaiʻi,1975,Football,"Closed; to be demolished
"
100,JMA Wireless Dome,"49,057",Syracuse,New York,1980,Multi-purpose,"Syracuse Orange (NCAA)
"
101,Chase Field,"48,405",Phoenix,Arizona,1998,Baseball,"Arizona Diamondbacks (MLB) Guaranteed Rate Bowl (NCAA)
"
102,Choctaw Stadium,"48,114",Arlington,Texas,1994,Multi-purpose,"Arlington Renegades (XFL)  Dallas Jackals (MLR)  North Texas SC (USL League One)
"
103,T-Mobile Park,"47,929",Seattle,Washington,1999,Baseball,"Seattle Mariners (MLB)
"
104,David Booth Kansas Memorial Stadium,"47,233",Lawrence,Kansas,1921,Football,"Kansas Jayhawks (NCAA)
"
105,Ryan Field,"47,130",Evanston,Illinois,1996,Football,"Northwestern Wildcats (NCAA)
"
106,Protective Stadium,"47,100",Birmingham,Alabama,2021,Football,UAB Blazers (NCAA)Birmingham Legion FC (USL Championship)Birmingham Bowl (NCAA)  Birmingham Stallions (USFL)
107,Rice Stadium,"47,000",Houston,Texas,1950,Football,"Rice Owls (NCAA)
"
108,Amon G. Carter Stadium,"47,000",Fort Worth,Texas,1930,Football,"TCU Horned Frogs (NCAA) Armed Forces Bowl (NCAA)
"
109,Coors Field,"46,897",Denver,Colorado,1995,Baseball,"Colorado Rockies (MLB)
"
110,Oakland Coliseum,"46,847",Oakland,California,1966,Multi-purpose,"Oakland Athletics (MLB)
"
111,Falcon Stadium,"46,692",Colorado Springs,Colorado,1962,Football,"Air Force Falcons (NCAA)
"
112,Yankee Stadium,"46,537",New York,New York,2009,"Baseball, soccer","New York Yankees (MLB) New York City FC (MLS) Pinstripe Bowl (NCAA)
"
113,Angel Stadium,"45,517",Anaheim,California,1966,Baseball,"Los Angeles Angels (MLB)
"
114,FBC Mortgage Stadium,"45,301",Orlando,Florida,2007,Football,"UCF Knights (NCAA)
"
115,McLane Stadium,"45,140",Waco,Texas,2014,Football,Baylor Bears (NCAA)
116,Alumni Stadium,"44,500",Chestnut Hill,Massachusetts,1957,Football,"Boston College Eagles (NCAA)
"
117,Oriole Park,"44,970",Baltimore,Maryland,1992,Baseball,"Baltimore Orioles (MLB)
"
118,Busch Stadium,"44,383",St. Louis,Missouri,2006,Baseball,"St. Louis Cardinals (MLB)
"
119,Great American Ball Park,"43,500",Cincinnati,Ohio,2003,Baseball,"Cincinnati Reds (MLB)
"
120,Citizens Bank Park,"42,901",Philadelphia,Pennsylvania,2004,Baseball,"Philadelphia Phillies (MLB)
"
121,Tropicana Field,"42,735",St. Petersburg,Florida,1990,Baseball,"Tampa Bay Rays (MLB) East–West Shrine Game (NCAA)
"
122,Citi Field,"41,922", New York,New York,2009,Baseball,"New York Mets (MLB)
"
123,Oracle Park,"41,915",San Francisco,California,2000,Baseball,"San Francisco Giants (MLB)
"
124,American Family Field,"41,900",Milwaukee,Wisconsin,2001,Baseball,"Milwaukee Brewers (MLB)
"
125,Wrigley Field,"41,649",Chicago,Illinois,1914,Baseball,"Chicago Cubs (MLB)
"
126,Nationals Park,"41,339","Washington, D.C.",District of Columbia,2008,Baseball,"Washington Nationals (MLB)
"
127,Cajun Field,"41,264",Lafayette,Louisiana,1971,Football,"Louisiana Ragin' Cajuns (NCAA)
"
128,Minute Maid Park,"41,168",Houston,Texas,2000,Baseball,"Houston Astros (MLB)
"
129,Truist Park,"41,084",Cumberland,Georgia,2017,Baseball,"Atlanta Braves (MLB)
"
130,Comerica Park,"41,083",Detroit,Michigan,2000,Baseball,"Detroit Tigers (MLB)
"
131,Valley Children's Stadium,"40,727",Fresno,California,1980,Football,"Fresno State Bulldogs (NCAA)
"
132,Guaranteed Rate Field,"40,615",Chicago,Illinois,1991,Baseball,"Chicago White Sox (MLB)
"
133,FirstBank Stadium,"40,350",Nashville,Tennessee,1922,Football,"Vanderbilt Commodores (NCAA)
"
134,Globe Life Field,"40,300",Arlington,Texas,2020,Baseball,"Texas Rangers (MLB)
"
135,Petco Park,"40,209",San Diego,California,2004,Baseball,"San Diego Padres (MLB)Holiday Bowl (NCAA)
"
136,Wallace Wade Stadium,"40,004",Durham,North Carolina,1929,Football,"Duke Blue Devils (NCAA)
"
137,Ladd-Peebles Stadium,"40,000",Mobile,Alabama,1948,Football,"Local high school sports
"
138,Howard J. Lamade Stadium,"40,000[36]",South Williamsport,Pennsylvania,1959,Baseball,"Little League World Series
"
139,TDECU Stadium,"40,000",Houston,Texas,2014,Football,"Houston Cougars (NCAA)  Houston Roughnecks (XFL)
"
140,University Stadium,"39,224",Albuquerque,New Mexico,1960,Football,"New Mexico Lobos (NCAA) New Mexico Bowl (NCAA)
"
141,PNC Park,"38,747",Pittsburgh,Pennsylvania,2001,Baseball,"Pittsburgh Pirates (MLB)
"
142,Target Field,"38,544",Minneapolis,Minnesota,2010,Baseball,"Minnesota Twins (MLB)
"
143,Nippert Stadium,"38,088[39]",Cincinnati,Ohio,1915,Football,"Cincinnati Bearcats (NCAA)
"
144,Pratt & Whitney Stadium,"38,066",East Hartford,Connecticut,2003,Football,"UConn Huskies (NCAA)
"
145,Michie Stadium,"38,000",West Point,New York,1924,Football,"Army Black Knights (NCAA)
"
146,Kauffman Stadium,"37,903",Kansas City,Missouri,1973,Baseball,"Kansas City Royals (MLB)
"
147,Fenway Park,"37,755",Boston,Massachusetts,1912,Baseball,"Boston Red Sox (MLB) Fenway Bowl (NCAA)
"
148,Sam Boyd Stadium,"36,800",Las Vegas,Nevada,1971,Football,"USA Sevens and Monster Jam World Finals
"
149,LoanDepot Park,"36,742",Miami,Florida,2012,Baseball,"Miami Marlins (MLB)
"
150,Canvas Stadium,"36,500",Fort Collins,Colorado,2017,Football,"Colorado State Rams (NCAA)
"
151,Albertsons Stadium,"36,387",Boise,Idaho,1970,Football,"Boise State Broncos (NCAA) Famous Idaho Potato Bowl (NCAA)
"
152,MM Roberts Stadium,"36,000",Hattiesburg,Mississippi,1932,Football,"Southern Miss Golden Eagles (NCAA)
"
153,Reser Stadium,"35,548",Corvallis,Oregon,1953,Football,"Oregon State Beavers (NCAA)
"
154,Snapdragon Stadium,"35,000",San Diego,California,2022,Football,"San Diego State Aztecs (NCAA)San Diego Wave (NWSL)  San Diego Legion (MLR) San Diego FC (MLS) (2025)
"
155,Progressive Field,"34,788",Cleveland,Ohio,1994,Baseball,"Cleveland Guardians (MLB)
"
156,Navy–Marine Corps Memorial Stadium,"34,000",Annapolis,Maryland,1959,Football,"Navy Midshipmen (NCAA) Military Bowl (NCAA)
"
157,Martin Stadium,"32,952",Pullman,Washington,1972,Football,"Washington State Cougars (NCAA)
"
158,Gerald J. Ford Stadium,"32,000",University Park,Texas,2000,Football,"SMU Mustangs (NCAA)First Responder Bowl (NCAA)
"
159,Truist Field,"31,500",Winston-Salem,North Carolina,1968,Football,"Wake Forest Demon Deacons (NCAA)
"
160,Apogee Stadium,"30,850",Denton,Texas,2011,Football,"North Texas Mean Green (NCAA)
"
161,"Johnny ""Red"" Floyd Stadium","30,788",Murfreesboro,Tennessee,1933,Football,"Middle Tennessee Blue Raiders (NCAA)
"
162,Joan C. Edwards Stadium,"30,475",Huntington,West Virginia,1991,Football,"Marshall Thundering Herd (NCAA)
"
163,Veterans Memorial Stadium,"30,470",Troy,Alabama,1950,Football,"Troy Trojans (NCAA)
"
164,Centennial Bank Stadium,"30,406",Jonesboro,Arkansas,1974,Football,"Arkansas State Red Wolves (NCAA)
"
165,Harvard Stadium,"30,323",Allston,Massachusetts,1903,Football,"Harvard Crimson (NCAA)
"
166,Kelly/Shorts Stadium,"30,255",Mount Pleasant,Michigan,1972,Football,"Central Michigan Chippewas (NCAA)
"
167,Waldo Stadium,"30,200",Kalamazoo,Michigan,1939,Football,"Western Michigan Broncos (NCAA)
"
168,Rynearson Stadium,"30,200",Ypsilanti,Michigan,1969,Football,"Eastern Michigan Eagles (NCAA)
"
169,Jonah Field at War Memorial Stadium,"30,181",Laramie,Wyoming,1950,Football,"Wyoming Cowboys (NCAA)
"
170,Jim Wacker Field at Bobcat Stadium,"30,008",San Marcos,Texas,1981,Football,"Texas State Bobcats (NCAA)
"
171,HA Chapman Stadium,"30,000",Tulsa,Oklahoma,1930,Football,"Tulsa Golden Hurricane (NCAA)
"
172,Kidd Brewer Stadium,"30,000",Boone,North Carolina,1962,Football,"Appalachian State Mountaineers (NCAA)
"
173,"William ""Dick"" Price Stadium","30,000",Norfolk,Virginia,1997,Football,"Norfolk State Spartans (NCAA)
"
174,InfoCision Stadium – Summa Field,"30,000",Akron,Ohio,2009,Football,"Akron Zips (NCAA)
"
175,Benson Field at Yulman Stadium,"30,000",New Orleans,Louisiana,2014,Football,"Tulane Green Wave (NCAA)
"
176,Geodis Park,"30,000",Nashville,Tennessee,2022,Soccer,"Nashville SC (MLS)
"
177,FAU Stadium,"29,571",Boca Raton,Florida,2011,Football,"Florida Atlantic Owls (NCAA) Boca Raton Bowl (NCAA)
"
178,Aggie Memorial Stadium,"28,853",Las Cruces,New Mexico,1978,Football,"New Mexico State Aggies (NCAA)
"
179,Joe Aillet Stadium,"28,562",Ruston,Louisiana,1960,Football,"Louisiana Tech Bulldogs (NCAA)
"
180,Princeton Stadium,"27,773",Princeton,New Jersey,1998,Football,"Princeton Tigers (NCAA)
"
181,Malone Stadium,"27,617",Monroe,Louisiana,1978,Football,"Louisiana–Monroe Warhawks (NCAA)
"
182,Mackay Stadium,"27,000",Reno,Nevada,1966,Football,"Nevada Wolf Pack (NCAA)
"
183,Dignity Health Sports Park,"27,000",Carson,California,2003,Soccer,"Los Angeles Galaxy (MLS)
"
184,ASU Stadium,"26,500",Montgomery,Alabama,2012,Football,"Alabama State Hornets (NCAA)
"
185,Tad Gormley Stadium,"26,500",New Orleans,Louisiana,1936,Multipurpose,"
"
186,The Glass Bowl,"26,038",Toledo,Ohio,1937,Football,"Toledo Rockets (NCAA)
"
187,TQL Stadium,"25,513",Cincinnati,Ohio,2021,Soccer,"FC Cincinnati (MLS)
"
188,Exploria Stadium,"25,500",Orlando,Florida,2017,Soccer,"Orlando City SC (MLS)Orlando Pride (NWSL) Cure Bowl (NCAA)
"
189,Ace W. Mumford Stadium,"25,500",Baton Rouge,Louisiana,1928,Football,"Southern Jaguars (NCAA)
"
190,Hancock Whitney Stadium,"25,450",Mobile,Alabama,2020,Football,"South Alabama Jaguars (NCAA)68 Ventures Bowl (NCAA)Senior Bowl (NCAA)
"
191,Dix Stadium,"25,319[45]
",Kent,Ohio,1969,Football,"Kent State Golden Flashes (NCAA)
"
192,Providence Park,"25,218",Portland,Oregon,1926,Soccer,"Portland Timbers (MLS)Portland Thorns (NWSL) Portland State Vikings (NCAA)
"
193,Washington–Grizzly Stadium,"25,217",Missoula,Montana,1986,Football,"Montana Grizzlies (NCAA)
"
194,Maverik Stadium,"25,100",Logan,Utah,1968,Football,"Utah State Aggies (NCAA)
"
195,UB Stadium,"25,013",Amherst,New York,1993,Football,"Buffalo Bulls (NCAA)
"
196,Red Bull Arena,"25,000",Harrison,New Jersey,2010,Soccer,"New York Red Bulls (MLS)Gotham FC (NWSL)
"
197,Paulson Stadium,"25,000",Statesboro,Georgia,1984,Football,"Georgia Southern Eagles (NCAA)
"
198,Williams Stadium,"25,000",Lynchburg,Virginia,1989,Football,"Liberty Flames (NCAA)
"
199,Cramton Bowl,"25,000",Montgomery,Alabama,1922,Football,"Camellia Bowl (NCAA) Local high school teams
"
200,Bridgeforth Stadium,"24,877",Harrisonburg,Virginia,1975,Football,"James Madison Dukes (NCAA)
"
201,Charles Schwab Field Omaha,"24,505",Omaha,Nebraska,2011,Baseball,"Creighton Bluejays (NCAA) College World Series (NCAA)
"
202,Center Parc Stadium,"24,333",Atlanta,Georgia,1996,Football,"Georgia State Panthers (NCAA)
"
203,Fred C. Yager Stadium,"24,286",Oxford,Ohio,1983,Football,"Miami RedHawks (NCAA)
"
204,Doyt L. Perry Stadium,"24,000",Bowling Green,Ohio,1966,Football,"Bowling Green Falcons (NCAA)
"
205,Don Peden Stadium,"24,000",Athens,Ohio,1929,Football,"Ohio Bobcats (NCAA)
"
206,JSU Stadium,"24,000",Jacksonville,Alabama,1947,Football,"Jacksonville State Gamecocks (NCAA)
"
207,Brigham Field at Huskie Stadium,"24,000",DeKalb,Illinois,1965,Football,"Northern Illinois Huskies (NCAA)
"
208,Houchens Industries–LT Smith Stadium,"23,776",Bowling Green,Kentucky,1968,Football,"Western Kentucky Hilltoppers (NCAA)
"
209,Arthur Ashe Stadium,"23,711", New York,New York,1997,Tennis,"U.S. Open
"
210,Fitton Field,"23,500",Worcester,Massachusetts,1924,Football,"Holy Cross Crusaders (NCAA)
"
211,Tom Benson Hall of Fame Stadium,"23,000",Canton,Ohio,1938,Football,"Pittsburgh Maulers (USFL)  New Jersey Generals (USFL)
"
212,City Stadium,"22,611",Richmond,Virginia,1929,Soccer,"Richmond Kickers (USL League One)
"
213,Jack Spinks Stadium,"22,500",Lorman,Mississippi,1992,Football,"Alcorn State Braves (NCAA)
"
214,John B. and June M. Scheumann Stadium,"22,500",Muncie,Indiana,1967,Football,"Ball State Cardinals (NCAA)
"
215,CityPark,"22,423",St. Louis,Missouri,2022,Soccer,"St. Louis City SC (MLS)
"
216,Weingart Stadium,"22,355",Monterey Park,California,1955,Multipurpose,"East Los Angeles Huskies (CCCAA)
"
217,Shell Energy Stadium,"22,039",Houston,Texas,2012,Soccer,"Houston Dynamo (MLS) Texas Southern Tigers (NCAA)Houston Dash (NWSL)
"
218,Oliver C. Dawson Stadium,"22,000",Orangeburg,South Carolina,1955,Football,"South Carolina State Bulldogs (NCAA)
"
219,BMO Stadium,"22,000",Los Angeles,California,2018,Soccer,"
Los Angeles FC (MLS)Angel City FC (NWSL)

"
220,Delaware Stadium,"22,000",Newark,Delaware,1952,Football,"Delaware Fightin' Blue Hens (NCAA)
"
221,Kornblau Field at S.B. Ballard Stadium,"21,944",Norfolk,Virginia,1936,Football,"Old Dominion Monarchs (NCAA)
"
222,CEFCU Stadium,"21,520",San Jose,California,1933,Football,"San Jose State Spartans (NCAA)
"
223,Schoellkopf Field,"21,500",Ithaca,New York,1915,Football,"Cornell Big Red (NCAA)
"
224,BREC Memorial Stadium,"21,500",Baton Rouge,Louisiana,1956,Football,"Local high school teams
"
225,Truist Stadium,"21,500",Greensboro,North Carolina,1981,Football,"North Carolina A&T Aggies (NCAA)
"
226,Hornet Stadium,"21,195",Sacramento,California,1969,Football,"Sacramento State Hornets (NCAA)
"
227,Louis Crews Stadium,"21,000",Huntsville,Alabama,1996,Football,"Alabama A&M Bulldogs (NCAA)
"
228,Brooks Stadium,"21,000",Conway,South Carolina,2003,Football,"Coastal Carolina Chanticleers (NCAA) Myrtle Beach Bowl (NCAA)
"
229,DRV PNK Stadium,"21,000",Fort Lauderdale,Florida,2020,Soccer,"Inter Miami CF (MLS)
"
230,Bobcat Stadium,"20,767",Bozeman,Montana,1973,Football,"Montana State Bobcats (NCAA)
"
231,Q2 Stadium,"20,738",Austin,Texas,2021,Soccer,"Austin FC (MLS)
"
232,Stambaugh Stadium,"20,630",Youngstown,Ohio,1982,Football,"Youngstown State Penguins (NCAA)
"
233,Toyota Stadium,"20,500",Frisco,Texas,2005,Soccer,"FC Dallas (MLS) Frisco Bowl (NCAA) NCAA Division I Football Championship Game (FCS) (NCAA)
"
234,Finley Stadium,"20,412",Chattanooga,Tennessee,1997,Football,"Chattanooga Mocs (NCAA)
"
235,Lower.com Field,"20,371",Columbus,Ohio,2021,Soccer,"Columbus Crew (MLS)
"
236,Hughes Stadium,"20,311",Sacramento,California,1928,Multi-purpose,"
"
237,America First Field,"20,213",Sandy,Utah,2008,Soccer,"Real Salt Lake (MLS)  Utah Royals FC (NWSL)
"
