rank,stadium,capacity,city,state,year opened,type,tenant,location
1,Bristol Motor Speedway,156990,Bristol,Tennessee,1961,"Motorsports, Football","
","[36.51569895, -82.2570078627]"
2,Michigan Stadium,107601,Ann Arbor,Michigan,1927,Football,"Michigan Wolverines (NCAA)
","[42.2658652, -83.7486837676]"
3,Beaver Stadium,106572,University Park,Pennsylvania,1960,Football,"Penn State Nittany Lions (NCAA)
","[40.81207425, -77.8549431255]"
4,Ohio Stadium,102780,Columbus,Ohio,1922,Football,"Ohio State Buckeyes (NCAA)
","[40.00164575, -83.0197374422]"
5,Kyle Field,102733,College Station,Texas,1927,Football,"Texas A&M Aggies (NCAA)
","[30.6098548, -96.3403697583]"
6,Tiger Stadium,102321,Baton Rouge,Louisiana,1924,Football,"LSU Tigers (NCAA)
","[30.41197725, -91.1838302966]"
7,Neyland Stadium,101915,Knoxville,Tennessee,1921,Football,"Tennessee Volunteers (NCAA)
","[35.95507225, -83.9259786225]"
8,Darrell K Royal–Texas Memorial Stadium,100119,Austin,Texas,1924,Football,"Texas Longhorns (NCAA)
","[30.28381, -97.7326993616]"
9,Bryant–Denny Stadium,100077,Tuscaloosa,Alabama,1929,Football,"Alabama Crimson Tide (NCAA)
","[33.2076889, -87.550439913]"
10,Sanford Stadium,92746,Athens,Georgia,1929,Football,"Georgia Bulldogs (NCAA)
","[33.94977095, -83.3722668714]"
11,Rose Bowl,92542,Pasadena,California,1922,Football,"UCLA Bruins (NCAA) Rose Bowl Game (NCAA)
","[34.16134915, -118.1676673983]"
12,Cotton Bowl,92100,Dallas,Texas,1930,Football,"Red River Rivalry (NCAA) State Fair Classic (NCAA)
","[32.77961185, -96.759602529]"
13,Ben Hill Griffin Stadium,88548,Gainesville,Florida,1930,Football,"Florida Gators (NCAA)
","[29.65003685, -82.3487666081]"
14,Jordan-Hare Stadium,88043,Auburn,Alabama,1939,Football,"Auburn Tigers (NCAA)
","[32.60216155, -85.4891613143]"
15,Memorial Stadium,85458,Lincoln,Nebraska,1923,Football,"Nebraska Cornhuskers (NCAA)
","[40.8207179, -96.7047561634]"
16,MetLife Stadium,82500,East Rutherford,New Jersey,2010,Football,"New York Giants (NFL) New York Jets (NFL)
","[40.81352375, -74.0734007489]"
17,Memorial Stadium,81500,Clemson,South Carolina,1942,Football,"Clemson Tigers (NCAA)
","[34.6787829, -82.844259554]"
18,Lambeau Field,81441,Green Bay,Wisconsin,1957,Football,Green Bay Packers (NFL),"[44.50095825, -88.0610340438]"
19,Gaylord Family Oklahoma Memorial Stadium,80126,Norman,Oklahoma,1925,Football,Oklahoma Sooners (NCAA),"[35.2056786, -97.441540475]"
20,AT&T Stadium,80000,Arlington,Texas,2009,Football,"Dallas Cowboys (NFL) Cotton Bowl Classic (NCAA) Big 12 Championship Game (NCAA)
","[32.74785025, -97.0928337074]"
21,Doak Campbell Stadium,79560,Tallahassee,Florida,1950,Football,"Florida State Seminoles (NCAA)
","[30.438151, -84.3043923956]"
22,Notre Dame Stadium,77662,Notre Dame,Indiana,1930,Football,"Notre Dame Fighting Irish (NCAA)
","[41.69842305, -86.2339582321]"
23,Williams–Brice Stadium,77559,Columbia,South Carolina,1934,Football,South Carolina Gamecocks (NCAA),"[33.9730451, -81.0191180345]"
24,Los Angeles Memorial Coliseum,77500,Los Angeles,California,1923,"Football, Motorsports","USC Trojans (NCAA)
","[34.0139923, -118.2880286485]"
25,GEHA Field at Arrowhead Stadium,76416,Kansas City,Missouri,1972,Football,"Kansas City Chiefs (NFL)
",
26,Donald W Reynolds Razorback Stadium,76212,Fayetteville,Arkansas,1938,Football,"Arkansas Razorbacks  (NCAA) (primary)
","[36.0680732, -94.1788511877]"
27,Empower Field,76125,Denver,Colorado,2001,Football,"Denver Broncos (NFL)
","[39.743952, -105.0192228124]"
28,Camp Randall Stadium,75822,Madison,Wisconsin,1917,Football,"Wisconsin Badgers (NCAA)
","[43.07007075, -89.4118554568]"
29,Spartan Stadium,75005,East Lansing,Michigan,1923,Football,"Michigan State Spartans (NCAA)
","[42.7281642, -84.4850508827]"
30,Bank of America Stadium,74867,Charlotte,North Carolina,1996,Football,"Carolina Panthers (NFL) Duke's Mayo Bowl (NCAA) ACC Championship Game (NCAA) Charlotte FC (MLS)
","[35.225737, -80.852766641]"
31,Caesars Superdome,73208,New Orleans,Louisiana,1975,Football,"New Orleans Saints (NFL) Sugar Bowl (NCAA) New Orleans Bowl (NCAA) Bayou Classic (NCAA)
","[29.9510489, -90.0823076254]"
32,NRG Stadium,72220,Houston,Texas,2002,Football,"Houston Texans (NFL) Texas Bowl (NCAA)
","[29.6848581, -95.4108014533]"
33,Highmark Stadium,71608,Orchard Park,New York,1973,Football,"Buffalo Bills (NFL)
","[42.77375, -78.786972028]"
34,Legion Field,71594,Birmingham,Alabama,1926,Football,"
","[33.5114854, -86.8428269497]"
35,Mercedes-Benz Stadium,71000,Atlanta,Georgia,2017,"Football, soccer","Atlanta Falcons (NFL) Atlanta United FC (MLS) Peach Bowl (NCAA) SEC Championship Game (NCAA)
","[33.7554123, -84.40084932]"
36,M&T Bank Stadium,70745,Baltimore,Maryland,1998,Football,"Baltimore Ravens (NFL)
","[39.2779734, -76.6226651155]"
37,SoFi Stadium,70240,Inglewood,California,2020,Football,"Los Angeles Rams (NFL) Los Angeles Chargers (NFL)LA Bowl (NCAA)
","[33.95340735, -118.3390098103]"
38,Husky Stadium,70083,Seattle,Washington,1920,Football,"Washington Huskies (NCAA)
","[47.6503736, -122.3019759825]"
39,Kinnick Stadium,69250,Iowa City,Iowa,1929,Football,"Iowa Hawkeyes (NCAA)
","[41.6586246, -91.5511915353]"
40,Raymond James Stadium,69218,Tampa,Florida,1998,Football,"Tampa Bay Buccaneers (NFL) South Florida Bulls (NCAA) Tampa Bay Bowl (NCAA) Gasparilla Bowl (NCAA)
","[27.97597925, -82.5042179967]"
41,Nissan Stadium,69143,Nashville,Tennessee,1999,Football,"Tennessee Titans (NFL) Tennessee State Tigers (NCAA) Music City Bowl (NCAA)
","[36.16652355, -86.7713148018]"
42,Lumen Field,68740,Seattle,Washington,2002,"Football, soccer","Seattle Seahawks (NFL) Seattle Sounders FC (MLS)  OL Reign (NWSL)  Seattle Sea Dragons (XFL)
","[47.5953459, -122.331644312]"
43,Levi's Stadium,68500,Santa Clara,California,2014,Football,"San Francisco 49ers (NFL)
","[37.40315825, -121.9698314443]"
44,Acrisure Stadium,68400,Pittsburgh,Pennsylvania,2001,Football,"Pittsburgh Steelers (NFL) Pittsburgh Panthers (NCAA)
","[40.44671645, -80.0157549335]"
45,EverBank Stadium,67814,Jacksonville,Florida,1995,Football,"Jacksonville Jaguars (NFL) Gator Bowl (NCAA) Florida vs. Georgia Football Classic (NCAA)
","[30.3321838, -81.655651]"
46,Lincoln Financial Field,67594,Philadelphia,Pennsylvania,2003,Football,Philadelphia Eagles (NFL) Temple Owls (NCAA) Army–Navy Game (NCAA) (most years),"[39.9009099, -75.1674891561]"
47,Cleveland Browns Stadium,67431,Cleveland,Ohio,1999,Football,"Cleveland Browns (NFL)
","[41.5060559, -81.6997118453]"
48,The Dome at America's Center,67277,St. Louis,Missouri,1995,Football,"St Louis Battlehawks (XFL)
","[38.63285405, -90.1886103524]"
49,US Bank Stadium,66655,Minneapolis,Minnesota,2016,Football,"Minnesota Vikings (NFL)
","[44.97361545, -93.2574662827]"
50,Gillette Stadium,65878,Foxborough,Massachusetts,2002,"Football, soccer","New England Patriots (NFL) New England Revolution (MLS)
","[42.0912526, -71.2644646106]"
51,Lane Stadium,65632,Blacksburg,Virginia,1965,Football,"Virginia Tech Hokies (NCAA)
","[37.21989015, -80.4180038591]"
52,Paycor Stadium,65515,Cincinnati,Ohio,2000,Football,"Cincinnati Bengals (NFL)
","[39.0954645, -84.516048835]"
53,Ford Field,65000,Detroit,Michigan,2002,Football,"Detroit Lions (NFL) Quick Lane Bowl (NCAA) MAC Championship Game (NCAA)  Michigan Panthers (USFL)
","[42.33995675, -83.045616574]"
54,Allegiant Stadium,65000,Las Vegas,Nevada,2020,Football,"Las Vegas Raiders (NFL) UNLV Rebels (NCAA)Pac-12 Championship Game (NCAA) Las Vegas Bowl (NCAA)
","[36.09083455, -115.1834320667]"
55,Ross–Ade Stadium,65000,West Lafayette,Indiana,1924,Football,"Purdue Boilermakers (NCAA)
","[40.43443185, -86.9177481839]"
56,Hard Rock Stadium,64767,Miami Gardens,Florida,1987,Football,"Miami Dolphins (NFL) Miami Hurricanes (NCAA) Orange Bowl (NCAA)
","[25.95790315, -80.2388497397]"
57,Vaught–Hemingway Stadium,64038,Oxford,Mississippi,1915,Football,"Ole Miss Rebels (NCAA)
","[34.36198175, -89.5341523252]"
58,Alamodome,64000,San Antonio,Texas,1993,Football,"UTSA Roadrunners (NCAA) Alamo Bowl (NCAA)  San Antonio Brahmas (XFL)  U.S. Army All-American Bowl (High School)
","[29.4168923, -98.4788948757]"
59,LaVell Edwards Stadium,63470,Provo,Utah,1964,Football,"BYU Cougars (NCAA)
","[40.2575283, -111.6545580032]"
60,State Farm Stadium,63400,Glendale,Arizona,2006,Football,"Arizona Cardinals (NFL) Fiesta Bowl (NCAA)
","[33.52779565, -112.2626719026]"
61,California Memorial Stadium,63186,Berkeley,California,1923,Football,"California Golden Bears (NCAA)
","[37.8709949, -122.2507360507]"
62,Lucas Oil Stadium,63000,Indianapolis,Indiana,2008,Football,"Indianapolis Colts (NFL) Big Ten Championship Game (NCAA)
","[39.7590621, -86.1638376105]"
63,FedExField,62000,Landover,Maryland,1997,Football,Washington Commanders (NFL),"[38.9077002, -76.8633260869]"
64,Faurot Field,61620,Columbia,Missouri,1926,Football,"Missouri Tigers (NCAA)
","[38.93583715, -92.333207]"
65,Soldier Field,61500,Chicago,Illinois,1924;2003,"Football, soccer","Chicago Bears (NFL)Chicago Fire (MLS)
","[41.86245145, -87.616715147]"
66,Scott Stadium,61500,Charlottesville,Virginia,1931,Football,"Virginia Cavaliers (NCAA)
","[38.0309252, -78.5136104402]"
67,Jack Trice Stadium,61500,Ames,Iowa,1975,Football,"Iowa State Cyclones (NCAA)
","[42.0138183, -93.6349689059]"
68,Yale Bowl,61446,New Haven,Connecticut,1914,Football,"Yale Bulldogs (NCAA)
","[41.3132194, -72.96044785]"
69,Davis Wade Stadium,61337,Starkville,Mississippi,1914,Football,"Mississippi State Bulldogs (NCAA)
","[33.4565166, -88.7934083205]"
70,Kroger Field,61000,Lexington,Kentucky,1973,Football,"Kentucky Wildcats (NCAA)
","[38.02273485, -84.5051192233]"
71,Cardinal Stadium,60800,Louisville,Kentucky,1998,Football,"Louisville Cardinals (NCAA)
","[38.20601615, -85.7587733804]"
72,Memorial Stadium,60670,Champaign,Illinois,1923,Football,"Illinois Fighting Illini (NCAA)
","[40.09928615, -88.2367497788]"
73,Mississippi Veterans Memorial Stadium,60492,Jackson,Mississippi,1941,Football,"Jackson State Tigers (NCAA)
","[32.32966955, -90.1790420024]"
74,Jones AT&T Stadium,60454,Lubbock,Texas,1947,Football,"Texas Tech Red Raiders (NCAA)
","[33.59125165, -101.8729502748]"
75,Camping World Stadium,60219,Orlando,Florida,1936,Football,"Florida Classic (NCAA) Citrus Bowl (NCAA) Pop-Tarts Bowl (NCAA)  Orlando Guardians (XFL)
","[28.5390623, -81.4027485784]"
76,Mountaineer Field,60000,Morgantown,West Virginia,1980,Football,"West Virginia Mountaineers (NCAA)
","[39.65018425, -79.9549876671]"
77,Simmons Bank Liberty Stadium,58325,Memphis,Tennessee,1965,Football,"Memphis Tigers (NCAA) Liberty Bowl (NCAA)  Memphis Showboats (USFL)
","[35.12113045, -89.9774152877]"
78,Carter–Finley Stadium,56919,Raleigh,North Carolina,1966,Football,"NC State Wolfpack (NCAA)
","[35.80084645, -78.7196045158]"
79,Dodger Stadium,56000,Los Angeles,California,1962,Baseball,"Los Angeles Dodgers (MLB)
","[34.0736263, -118.2389758157]"
80,Boone Pickens Stadium,55509,Stillwater,Oklahoma,1920,Football,"Oklahoma State Cowboys (NCAA)
","[36.1256929, -97.0668698432]"
81,Bobby Dodd Stadium at Historic Grant Field,55000,Atlanta,Georgia,1913,Football,"Georgia Tech Yellow Jackets (NCAA)
","[33.7489924, -84.3902644]"
82,War Memorial Stadium,54120,Little Rock,Arkansas,1948,Football,"Arkansas Razorbacks (NCAA) (secondary to Razorback Stadium)
","[34.7498294, -92.3301284743]"
83,Autzen Stadium,53800,Eugene,Oregon,1967,Football,"Oregon Ducks (NCAA)
","[44.0582178, -123.0684379319]"
84,Sun Devil Stadium,53599,Tempe,Arizona,1958,Football,"Arizona State Sun Devils (NCAA)
","[33.42630945, -111.9326590178]"
85,Memorial Stadium,52626,Bloomington,Indiana,1960,Football,"Indiana Hoosiers (NCAA)
","[39.47488925, -87.3669777508]"
86,Franklin Field,52593,Philadelphia,Pennsylvania,1895,Football,"Penn Quakers (NCAA)
","[39.950067, -75.1899747857]"
87,SHI Stadium,52454,Piscataway,New Jersey,1994,Football,"Rutgers Scarlet Knights (NCAA)
","[40.51350365, -74.4642435058]"
88,SECU Stadium,51802,College Park,Maryland,1950,Football,"Maryland Terrapins (NCAA)
","[38.99029865, -76.9474534152]"
89,Sun Bowl Stadium,51500,El Paso,Texas,1963,Football,"UTEP Miners (NCAA) Sun Bowl (NCAA)
","[31.7733646, -106.5079400655]"
90,Rice-Eccles Stadium,51444,Salt Lake City,Utah,1998,Football,"Utah Utes (NCAA)
","[40.75985365, -111.8489194926]"
91,Dowdy–Ficklen Stadium,51000,Greenville,"North Carolina
",1963,Football,"East Carolina Pirates (NCAA)
","[35.59646385, -77.3653057256]"
92,Independence Stadium,50832,Shreveport,Louisiana,1925,Football,"Independence Bowl (NCAA)  Local high school teams
","[32.4756172, -93.7919842755]"
93,Huntington Bank Stadium,50805,Minneapolis,Minnesota,2009,Football,"Minnesota Golden Gophers (NCAA)
","[44.97653965, -93.2231906825]"
94,Arizona Stadium,50800,Tucson,Arizona,1928,Football,"Arizona Wildcats (NCAA) Arizona Bowl (NCAA)
","[32.2288359, -110.9487796429]"
95,Kenan Memorial Stadium,50500,Chapel Hill,North Carolina,1927,Football,"North Carolina Tar Heels (NCAA)
","[35.90696315, -79.0488641851]"
96,Stanford Stadium,50424,Stanford,California,1921;2006,Football,"Stanford Cardinal (NCAA)
","[37.43453005, -122.1611629673]"
97,Folsom Field,50183,Boulder,Colorado,1924,Football,"Colorado Buffaloes (NCAA)
","[40.0093888, -105.2660794291]"
98,Bill Snyder Family Football Stadium,50000,Manhattan,Kansas,1968,Football,"Kansas State Wildcats (NCAA)
","[39.1836082, -96.5716694]"
99,Aloha Stadium,50000,Honolulu,Hawaiʻi,1975,Football,"Closed; to be demolished
","[21.3727761, -157.9292970842]"
100,JMA Wireless Dome,49057,Syracuse,New York,1980,Multi-purpose,"Syracuse Orange (NCAA)
","[43.03628365, -76.1363603171]"
101,Chase Field,48405,Phoenix,Arizona,1998,Baseball,"Arizona Diamondbacks (MLB) Guaranteed Rate Bowl (NCAA)
","[33.44548555, -112.0666928329]"
102,Choctaw Stadium,48114,Arlington,Texas,1994,Multi-purpose,"Arlington Renegades (XFL)  Dallas Jackals (MLR)  North Texas SC (USL League One)
","[32.7513904, -97.0817622085]"
103,T-Mobile Park,47929,Seattle,Washington,1999,Baseball,"Seattle Mariners (MLB)
","[47.59148535, -122.3320993675]"
104,David Booth Kansas Memorial Stadium,47233,Lawrence,Kansas,1921,Football,"Kansas Jayhawks (NCAA)
","[38.96301315, -95.2464029414]"
105,Ryan Field,47130,Evanston,Illinois,1996,Football,"Northwestern Wildcats (NCAA)
","[42.0654532, -87.6925731473]"
106,Protective Stadium,47100,Birmingham,Alabama,2021,Football,UAB Blazers (NCAA)Birmingham Legion FC (USL Championship)Birmingham Bowl (NCAA)  Birmingham Stallions (USFL),"[33.5275724, -86.8090625548]"
107,Rice Stadium,47000,Houston,Texas,1950,Football,"Rice Owls (NCAA)
","[29.7163227, -95.4093245485]"
108,Amon G Carter Stadium,47000,Fort Worth,Texas,1930,Football,"TCU Horned Frogs (NCAA) Armed Forces Bowl (NCAA)
","[32.70978705, -97.3681800085]"
109,Coors Field,46897,Denver,Colorado,1995,Baseball,"Colorado Rockies (MLB)
","[39.7560314, -104.9929285553]"
110,Oakland Coliseum,46847,Oakland,California,1966,Multi-purpose,"Oakland Athletics (MLB)
","[37.7522639, -122.197955]"
111,Falcon Stadium,46692,Colorado Springs,Colorado,1962,Football,"Air Force Falcons (NCAA)
","[38.99705645, -104.8436499206]"
112,Yankee Stadium,46537,New York,New York,2009,"Baseball, soccer","New York Yankees (MLB) New York City FC (MLS) Pinstripe Bowl (NCAA)
","[40.82958275, -73.9265211849]"
113,Angel Stadium,45517,Anaheim,California,1966,Baseball,"Los Angeles Angels (MLB)
","[33.8002599, -117.8817426276]"
114,FBC Mortgage Stadium,45301,Orlando,Florida,2007,Football,"UCF Knights (NCAA)
","[28.60831635, -81.1926242517]"
115,McLane Stadium,45140,Waco,Texas,2014,Football,Baylor Bears (NCAA),"[31.558209, -97.1164471868]"
116,Alumni Stadium,44500,Chestnut Hill,Massachusetts,1957,Football,"Boston College Eagles (NCAA)
","[42.33509925, -71.1663077986]"
117,Oriole Park,44970,Baltimore,Maryland,1992,Baseball,"Baltimore Orioles (MLB)
","[39.2837383, -76.6216055564]"
118,Busch Stadium,44383,St. Louis,Missouri,2006,Baseball,"St. Louis Cardinals (MLB)
","[38.6225538, -90.1939219346]"
119,Great American Ball Park,43500,Cincinnati,Ohio,2003,Baseball,"Cincinnati Reds (MLB)
","[39.09724845, -84.5066232553]"
120,Citizens Bank Park,42901,Philadelphia,Pennsylvania,2004,Baseball,"Philadelphia Phillies (MLB)
","[39.90588575, -75.1654110175]"
121,Tropicana Field,42735,St. Petersburg,Florida,1990,Baseball,"Tampa Bay Rays (MLB) East–West Shrine Game (NCAA)
","[27.7680559, -82.6532755046]"
122,Citi Field,41922, New York,New York,2009,Baseball,"New York Mets (MLB)
","[40.75727785, -73.8458788494]"
123,Oracle Park,41915,San Francisco,California,2000,Baseball,"San Francisco Giants (MLB)
","[37.7786119, -122.3902674543]"
124,American Family Field,41900,Milwaukee,Wisconsin,2001,Baseball,"Milwaukee Brewers (MLB)
","[43.0280619, -87.9720958684]"
125,Wrigley Field,41649,Chicago,Illinois,1914,Baseball,"Chicago Cubs (MLB)
","[41.94813535, -87.6563515472]"
126,Nationals Park,41339,"Washington, D.C.",District of Columbia,2008,Baseball,"Washington Nationals (MLB)
","[38.87274095, -77.0083858857]"
127,Cajun Field,41264,Lafayette,Louisiana,1971,Football,"Louisiana Ragin' Cajuns (NCAA)
","[30.21587275, -92.0417359635]"
128,Minute Maid Park,41168,Houston,Texas,2000,Baseball,"Houston Astros (MLB)
","[29.75723205, -95.3552344364]"
129,Truist Park,41084,Cumberland,Georgia,2017,Baseball,"Atlanta Braves (MLB)
","[33.89070855, -84.4685342289]"
130,Comerica Park,41083,Detroit,Michigan,2000,Baseball,"Detroit Tigers (MLB)
","[42.33915895, -83.0496248178]"
131,Valley Children's Stadium,40727,Fresno,California,1980,Football,"Fresno State Bulldogs (NCAA)
","[36.81439585, -119.7580383104]"
132,Guaranteed Rate Field,40615,Chicago,Illinois,1991,Baseball,"Chicago White Sox (MLB)
","[41.8300162, -87.6325626484]"
133,FirstBank Stadium,40350,Nashville,Tennessee,1922,Football,"Vanderbilt Commodores (NCAA)
","[36.1439196, -86.8089205126]"
134,Globe Life Field,40300,Arlington,Texas,2020,Baseball,"Texas Rangers (MLB)
","[32.74760655, -97.0841063017]"
135,Petco Park,40209,San Diego,California,2004,Baseball,"San Diego Padres (MLB)Holiday Bowl (NCAA)
","[32.70718815, -117.1568773069]"
136,Wallace Wade Stadium,40004,Durham,North Carolina,1929,Football,"Duke Blue Devils (NCAA)
","[35.99544585, -78.9418892408]"
137,Ladd-Peebles Stadium,40000,Mobile,Alabama,1948,Football,"Local high school sports
","[30.6730573, -88.0756349162]"
138,Howard J Lamade Stadium,40000,South Williamsport,Pennsylvania,1959,Baseball,"Little League World Series
","[41.2304109, -76.9801316429]"
139,TDECU Stadium,40000,Houston,Texas,2014,Football,"Houston Cougars (NCAA)  Houston Roughnecks (XFL)
","[29.72192555, -95.3482760372]"
140,University Stadium,39224,Albuquerque,New Mexico,1960,Football,"New Mexico Lobos (NCAA) New Mexico Bowl (NCAA)
","[35.0669629, -106.6282450621]"
141,PNC Park,38747,Pittsburgh,Pennsylvania,2001,Baseball,"Pittsburgh Pirates (MLB)
","[40.4469258, -80.0056062661]"
142,Target Field,38544,Minneapolis,Minnesota,2010,Baseball,"Minnesota Twins (MLB)
","[44.98168445, -93.2778643458]"
143,Nippert Stadium,38088,Cincinnati,Ohio,1915,Football,"Cincinnati Bearcats (NCAA)
","[39.1311213, -84.5162298393]"
144,Pratt & Whitney Stadium,38066,East Hartford,Connecticut,2003,Football,"UConn Huskies (NCAA)
","[41.7596263, -72.6188315638]"
145,Michie Stadium,38000,West Point,New York,1924,Football,"Army Black Knights (NCAA)
","[41.3875623, -73.9641897062]"
146,Kauffman Stadium,37903,Kansas City,Missouri,1973,Baseball,"Kansas City Royals (MLB)
","[39.0514715, -94.4813973053]"
147,Fenway Park,37755,Boston,Massachusetts,1912,Baseball,"Boston Red Sox (MLB) Fenway Bowl (NCAA)
","[42.3464621, -71.0971002033]"
148,Sam Boyd Stadium,36800,Las Vegas,Nevada,1971,Football,"USA Sevens and Monster Jam World Finals
","[36.0862687, -115.0167365128]"
149,LoanDepot Park,36742,Miami,Florida,2012,Baseball,"Miami Marlins (MLB)
","[25.7782474, -80.2198050074]"
150,Canvas Stadium,36500,Fort Collins,Colorado,2017,Football,"Colorado State Rams (NCAA)
","[40.5698591, -105.0893442236]"
151,Albertsons Stadium,36387,Boise,Idaho,1970,Football,"Boise State Broncos (NCAA) Famous Idaho Potato Bowl (NCAA)
","[43.60355615, -116.1957917192]"
152,MM Roberts Stadium,36000,Hattiesburg,Mississippi,1932,Football,"Southern Miss Golden Eagles (NCAA)
","[31.32896805, -89.3312617481]"
153,Reser Stadium,35548,Corvallis,Oregon,1953,Football,"Oregon State Beavers (NCAA)
","[44.5596691, -123.2811566709]"
154,Snapdragon Stadium,35000,San Diego,California,2022,Football,"San Diego State Aztecs (NCAA)San Diego Wave (NWSL)  San Diego Legion (MLR) San Diego FC (MLS) (2025)
","[32.78418875, -117.1216982075]"
155,Progressive Field,34788,Cleveland,Ohio,1994,Baseball,"Cleveland Guardians (MLB)
","[41.49609055, -81.6851319163]"
156,Navy–Marine Corps Memorial Stadium,34000,Annapolis,Maryland,1959,Football,"Navy Midshipmen (NCAA) Military Bowl (NCAA)
","[38.9847567, -76.5070764883]"
157,Martin Stadium,32952,Pullman,Washington,1972,Football,"Washington State Cougars (NCAA)
","[46.73180345, -117.1603730621]"
158,Gerald J Ford Stadium,32000,University Park,Texas,2000,Football,"SMU Mustangs (NCAA)First Responder Bowl (NCAA)
","[32.8380587, -96.7834577661]"
159,Truist Field,31500,Winston-Salem,North Carolina,1968,Football,"Wake Forest Demon Deacons (NCAA)
","[35.2282839, -80.8487709296]"
160,Apogee Stadium,30850,Denton,Texas,2011,Football,"North Texas Mean Green (NCAA)
","[33.2039363, -97.1600466339]"
161,"Johnny ""Red"" Floyd Stadium",30788,Murfreesboro,Tennessee,1933,Football,"Middle Tennessee Blue Raiders (NCAA)
","[35.85128735, -86.3682386288]"
162,Joan C Edwards Stadium,30475,Huntington,West Virginia,1991,Football,"Marshall Thundering Herd (NCAA)
","[38.4248685, -82.4210087767]"
163,Veterans Memorial Stadium,30470,Troy,Alabama,1950,Football,"Troy Trojans (NCAA)
","[31.7996068, -85.9519301355]"
164,Centennial Bank Stadium,30406,Jonesboro,Arkansas,1974,Football,"Arkansas State Red Wolves (NCAA)
","[35.84885975, -90.6671813886]"
165,Harvard Stadium,30323,Allston,Massachusetts,1903,Football,"Harvard Crimson (NCAA)
","[42.36673845, -71.1267324917]"
166,Kelly/Shorts Stadium,30255,Mount Pleasant,Michigan,1972,Football,"Central Michigan Chippewas (NCAA)
","[43.57762285, -84.7710513915]"
167,Waldo Stadium,30200,Kalamazoo,Michigan,1939,Football,"Western Michigan Broncos (NCAA)
","[42.28576205, -85.6011197202]"
168,Rynearson Stadium,30200,Ypsilanti,Michigan,1969,Football,"Eastern Michigan Eagles (NCAA)
","[42.2558724, -83.647374746]"
169,Jonah Field at War Memorial Stadium,30181,Laramie,Wyoming,1950,Football,"Wyoming Cowboys (NCAA)
","[41.31173415, -105.5681860863]"
170,Jim Wacker Field at Bobcat Stadium,30008,San Marcos,Texas,1981,Football,"Texas State Bobcats (NCAA)
","[29.8826436, -97.9405828]"
171,HA Chapman Stadium,30000,Tulsa,Oklahoma,1930,Football,"Tulsa Golden Hurricane (NCAA)
","[36.14866265, -95.9438582545]"
172,Kidd Brewer Stadium,30000,Boone,North Carolina,1962,Football,"Appalachian State Mountaineers (NCAA)
","[36.2115929, -81.6854365824]"
173,"William ""Dick"" Price Stadium",30000,Norfolk,Virginia,1997,Football,"Norfolk State Spartans (NCAA)
","[36.84739215, -76.2600129397]"
174,InfoCision Stadium – Summa Field,30000,Akron,Ohio,2009,Football,"Akron Zips (NCAA)
","[41.083064, -81.518485]"
175,Benson Field at Yulman Stadium,30000,New Orleans,Louisiana,2014,Football,"Tulane Green Wave (NCAA)
","[29.9759983, -90.0782127]"
176,Geodis Park,30000,Nashville,Tennessee,2022,Soccer,"Nashville SC (MLS)
","[36.1301519, -86.7660221905]"
177,FAU Stadium,29571,Boca Raton,Florida,2011,Football,"Florida Atlantic Owls (NCAA) Boca Raton Bowl (NCAA)
","[26.37629495, -80.1017177139]"
178,Aggie Memorial Stadium,28853,Las Cruces,New Mexico,1978,Football,"New Mexico State Aggies (NCAA)
","[32.2796263, -106.7411203721]"
179,Joe Aillet Stadium,28562,Ruston,Louisiana,1960,Football,"Louisiana Tech Bulldogs (NCAA)
","[32.53201365, -92.655939677]"
180,Princeton Stadium,27773,Princeton,New Jersey,1998,Football,"Princeton Tigers (NCAA)
","[40.345776, -74.6507280288]"
181,Malone Stadium,27617,Monroe,Louisiana,1978,Football,"Louisiana–Monroe Warhawks (NCAA)
","[32.53089925, -92.0660395812]"
182,Mackay Stadium,27000,Reno,Nevada,1966,Football,"Nevada Wolf Pack (NCAA)
","[39.5468915, -119.8173979801]"
183,Dignity Health Sports Park,27000,Carson,California,2003,Soccer,"Los Angeles Galaxy (MLS)
","[33.8622861, -118.2629821787]"
184,ASU Stadium,26500,Montgomery,Alabama,2012,Football,"Alabama State Hornets (NCAA)
","[32.36425295, -86.2907632887]"
185,Tad Gormley Stadium,26500,New Orleans,Louisiana,1936,Multipurpose,"
","[29.98987455, -90.0996330082]"
186,The Glass Bowl,26038,Toledo,Ohio,1937,Football,"Toledo Rockets (NCAA)
","[41.6529143, -83.5378173]"
187,TQL Stadium,25513,Cincinnati,Ohio,2021,Soccer,"FC Cincinnati (MLS)
","[39.1114126, -84.5222944675]"
188,Exploria Stadium,25500,Orlando,Florida,2017,Soccer,"Orlando City SC (MLS)Orlando Pride (NWSL) Cure Bowl (NCAA)
","[28.541115, -81.3891428101]"
189,Ace W Mumford Stadium,25500,Baton Rouge,Louisiana,1928,Football,"Southern Jaguars (NCAA)
","[30.4494155, -91.1869659]"
190,Hancock Whitney Stadium,25450,Mobile,Alabama,2020,Football,"South Alabama Jaguars (NCAA)68 Ventures Bowl (NCAA)Senior Bowl (NCAA)
","[30.6969286, -88.1919593182]"
191,Dix Stadium,25319,Kent,Ohio,1969,Football,"Kent State Golden Flashes (NCAA)
","[41.13902745, -81.313675392]"
